PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
597952,2,54,62,4,7,3,5,75,63.3,1500,74,516,1500,3.5,6,
597957,1,54,55,4,7,4,6,90,68.3,1167,0,1500,1500,4,6.5,
597957,2,59,55,5,7,5,7,80,76.7,1500,99,833,1500,5,7,
597958,1,52,52,4,8,8,8,90,71.7,366,0,1000,1000,6,8,
597958,2,54,55,2,3,6,7,90,93.3,508,33,1167,299,4,5,
597961,1,59,NA,3,8,5,6,80,48.3,1166,0,1500,1500,4,7,
597961,2,56,69,3,6,4,4,80,63.3,1033,25,1333,1500,3.5,5,
597964,1,63,76,1,2,2,3,110,90,25,0,358,1000,1.5,2.5,
597964,2,61,69,1,2,3,3,110,100,25,25,199,262,2,2.5,
597965,1,52,50,2,6,7,8,105,100,166,0,1000,1000,4.5,7,
597965,2,49,62,4,8,3,6,105,86.7,1000,0,183,1500,3.5,7,
597966,1,56,62,2,7,4,8,75,77.5,1167,0,1166,1500,3,7.5,
597966,2,52,NA,5,7,NA,NA,80,NA,1500,58,NA,NA,5,7,
597968,1,54,55,3,8,4,8,120,110,499,0,500,250,3.5,8,
597968,2,56,NA,2,5,NA,NA,115,NA,216,17,NA,NA,2,5,
597971,1,49,50,3,7,3,5,95,95,74,166,50,1500,3,6,
597971,2,52,57,2,4,3,4,95,93.3,208,0,58,1500,2.5,4,
597973,1,52,NA,5,8,7,7,80,55,1333,33,1000,1500,6,7.5,
597973,2,54,59,4,6,8,8,80,76.7,1166,25,1000,750,6,7,
597980,1,49,48,4,8,8,8,90,86.7,1000,8,1167,1000,6,8,
597980,2,47,64,3,7,4,6,80,78.3,1008,50,1500,1500,3.5,6.5,
601816,1,63,71,2,6,3,4,170,136.7,1000,8,208,1500,2.5,5,
601816,2,66,64,2,4,5,6,185,156.7,549,1033,1000,1500,3.5,5,
607900,1,56,55,2,4,6,7,80,70,1333,191,1500,1250,4,5.5,
607900,2,59,69,2,9,4,4,85,68.3,1008,25,1167,299,3,6.5,
609456,1,NA,NA,4,5,5,7,300,81.7,1000,33,866,1500,4.5,6,
609456,2,NA,91,4,5,6,7,310,111.7,1167,0,666,1000,5,6,
613536,1,52,50,2,3,5,7,110,90,33,41,1500,1000,3.5,5,
613536,2,61,55,4,7,2,6,90,90,833,0,8,750,3,6.5,
629034,1,59,57,1,2,5,7,100,95,50,0,1500,1500,3,4.5,
629034,2,61,64,1,2,3,5,95,101.7,33,0,216,1000,2,3.5,
629040,1,56,62,2,5,3,5,100,91.7,232,74,1167,1000,2.5,5,
629040,2,59,76,2,5,4,5,100,73.3,208,8,1000,1500,3,5,
629059,1,61,59,4,5,4,5,85,85,1167,0,1333,1250,4,5,
629059,2,54,69,2,2,2,5,95,88.3,525,41,50,1500,2,3.5,
641824,1,63,59,1,4,5,6,220,173.3,25,0,1333,1000,3,5,
641824,2,63,62,3,5,5,6,155,151.7,833,0,1500,1500,4,5.5,
641874,1,59,55,3,9,5,7,250,216.7,1000,49,1333,1000,4,8,
641874,2,61,69,2,5,2,4,260,216.7,1167,66,341,299,2,4.5,
642791,1,56,62,4,7,6,7,95,71.7,833,0,1167,750,5,7,
