"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI629059.MERGE",1.79,1,1.950609668,0.6,0.72,2.78,2.84,8.8,0.43,0.31,0.14
"PI641824.MERGE",1.8,1,2.241138097,0.65,0.8,2.95,2.79,8.4,0.41,0.25,0.19
"PI641874.C57CTACXX.4.5289",1.79,1,2.37297452,0.6,0.86,2.97,2.49,8.5,0.37,0.26,0.12
"PI642791.MERGE",1.78,0,1.909144713,0.78,0.88,2.98,2.65,9,0.54,0.29,0.15
"PI642992.C57CTACXX.2.1875",1.75,0,2.002255885,0.6,0.88,2.68,2.71,9,0.59,0.34,0.15
"PI651492.C57CTACXX.4.5162",1.9,1,2.358991683,0.51,0.68,2.25,2.57,8.5,0.78,0.45,0.36
"PI651496.MERGE",1.9,1,2.344180954,0.68,0.78,2.95,2.67,8.7,0.56,0.29,0.15
"PI655970.MERGE",1.74,0,2.062667099,0.72,0.88,2.94,2.84,8.8,0.54,0.29,0.15
"PI655971.C57CTACXX.4.5812",1.72,0,1.85425294,0.8,0.9,2.81,1.29,9,0.25,0.12,0.09
"PI655973.C57CTACXX.2.2002",1.69,3,2.163888474,0.8,0.92,3.11,2.74,8.1,0.26,0.17,0.11
"PI655974.C57CTACXX.2.1795",1.79,0,2.13790425,0.65,0.78,2.94,2.76,8.9,0.55,0.28,0.16
"PI655975.C57CTACXX.4.5204",1.7,0,1.923745501,0.7,0.83,2.89,2.84,9,0.44,0.26,0.17
"PI655976.C57CTACXX.1.1431",1.71,0,1.905081079,0.8,0.83,3.02,2.88,8.6,0.37,0.24,0.15
"PI655978.MERGE",1.75,0,2.003788549,0.6,0.88,2.84,1.7,9,0.27,0.15,0.11
"PI655979.MERGE",1.76,3,1.992812615,0.54,0.8,2.75,2.84,7.5,0.6,0.31,0.17
"PI655982.C57CTACXX.4.4672",1.77,1,1.988649936,0.51,0.74,2.66,2.14,8.5,0.57,0.35,0.24
"PI655984.C57CTACXX.2.2317",1.73,0,2.094626409,0.72,0.86,2.94,2.7,9,0.53,0.32,0.2
"PI655985.C57CTACXX.1.1472",1.72,3,1.933434931,0.65,0.81,2.7,2.6,7.7,0.49,0.31,0.18
"PI655986.C57CTACXX.2.2316",1.73,3,1.976168848,0.78,0.92,3.07,2.84,7.7,0.45,0.25,0.17
"PI655987.C57CTACXX.8.11105",1.71,2,2.021864474,0.7,0.92,2.98,2.8,7.5,0.44,0.24,0.12
"PI655988.C57CTACXX.2.1752",1.74,0,2.002952012,0.74,0.89,2.58,2.59,8.4,0.51,0.27,0.13
"PI655989.C57CTACXX.2.1788",1.72,NA,1.986008799,0.7,0.85,2.83,2.82,NA,0.54,0.28,0.14
"PI655991.C57CTACXX.2.1609",1.75,2,2.001118982,0.8,0.86,2.94,2.8,8.2,0.44,0.23,0.11
"PI655992.C57CTACXX.2.1664",1.75,2,1.988398727,0.76,0.86,2.93,2.88,8.8,0.4,0.26,0.16
"PI655995.C57CTACXX.2.1924",1.79,1,2.093433454,0.72,0.89,2.98,2.79,9,0.3,0.2,0.09
"PI655997.C57CTACXX.2.2206",1.79,0,1.94980083,0.74,0.88,3.05,2.7,9,0.4,0.21,0.12
